time,phase,speed,incline
1,1,0,-10
2,1,0,-10
3,1,0,-10
4,1,0,-10
5,1,0,-10
6,2,0,-10
7,2,0,-10
8,3,0,-10
9,4,6,-10
10,5,9,-10
11,6,12,-10
12,6,15,-10
13,6,18,-10
14,6,18,-10
15,6,18,-10
16,6,18,-10
17,6,18,-10
18,7,18,-10
19,7,18,-10
20,7,18,-10
21,8,18,-10
22,8,18,-10
23,8,18,-10
24,8,18,-10
25,8,18,-10
26,8,18,-10
27,8,18,-10
28,9,18,-10
29,9,18,-10
30,9,18,-10
31,10,18,-10
32,10,18,-10
33,10,18,-10
34,10,18,-10
35,10,18,-10
36,10,18,-10
37,10,18,-10
38,11,18,-10
39,11,18,-10
40,11,18,-10
41,12,18,-10
42,12,18,-10
43,12,18,-10
44,12,18,-10
45,12,18,-10
46,12,18,-10
47,12,18,-10
48,13,18,-10
49,13,18,-10
50,13,18,-10
51,14,18,-10
52,14,18,-10
53,14,18,-10
54,14,18,-10
55,14,18,-10
56,14,18,-10
57,14,18,-10
58,15,18,-10
59,15,18,-10
60,15,18,-10
61,16,18,-10
62,16,18,-10
63,16,18,-10
64,16,18,-10
65,16,18,-10
66,16,18,-10
67,16,18,-10
68,17,18,-10
69,17,18,-10
70,17,18,-10
71,18,18,-10
72,18,18,-10
73,18,18,-10
74,18,18,-10
75,18,18,-10
76,18,18,-10
77,18,18,-10
78,19,18,-10
79,19,18,-10
80,19,18,-10
81,20,18,-10
82,20,18,-10
83,20,18,-10
84,20,18,-10
85,20,18,-10
86,20,18,-10
87,20,18,-10
88,21,18,-10
89,21,18,-10
90,21,18,-10
91,22,18,-10
92,22,18,-10
93,22,18,-10
94,22,18,-10
95,22,18,-10
96,22,18,-10
97,22,18,-10
98,23,18,-10
99,23,18,-10
100,23,18,-10
101,24,18,-10
102,24,18,-10
103,24,18,-10
104,24,18,-10
105,24,18,-10
106,24,18,-10
107,24,18,-10
108,25,18,-10
109,25,18,-10
110,25,18,-10